"","c..interviews....russell....ackoff....one....pioneers....career..."
"82054","obtain"
"82055","sufficient"
"82056","qualified"
"82057","employees"
"82058","sustain"
"82059","rapid"
"82060","development"
"82061","world"
"82062","leading"
"82063","multinational"
"82064","hotel"
"82065","companies"
"82066","launched"
"82067","properties"
"82068","country"
"82069","china"
"82070","becoming"
"82071","increasingly"
"82072","integrated"
"82073","global"
"82074","tourism"
"82075","hospitality"
"82076","market"
"82077","actually"
"82078","hotels"
"82079","china"
"82080","indigenous"
"82081","hotels"
"82082","hotels"
"82083","operated"
"82084","international"
"82085","hotel"
"82086","chains"
"82087","increasingly"
"82088","competing"
"82089","containing"
"82090","developing"
"82091","talents"
"82092","evaluation"
"82093","tool"
"82094","compare"
"82095","training"
"82096","development"
"82097","practices"
"82098","competitors"
"82099","practices"
"82100","improve"
"82101","competitiveness"
"82102","proposes"
"82103","evaluation"
"82104","tool"
"82105","high"
"82106","star"
"82107","rating"
"82108","hotels"
"82109","operating"
"82110","china"
"82111","western"
"82112","strategic"
"82113","rationales"
"82114","modified"
"82115","according"
"82116","chinese"
"82117","context"
"82118","examines"
"82119","attitudes"
"82120","perceptions"
"82121","undergraduate"
"82122","gaming"
"82123","macao"
"82124","toward"
"82125","city"
"82126","gaming"
"82127","industry"
"82128","career"
"82129","prospects"
"82130","particularly"
"82131","crucial"
"82132","macao"
"82133","serious"
"82134","shortage"
"82135","human"
"82136","resources"
"82137","difficulty"
"82138","attracting"
"82139","retaining"
"82140","employees"
"82141","since"
"82142","liberalization"
"82143","macao"
"82144","casino"
"82145","licensing"
"82146","positive"
"82147","attitudes"
"82148","perceptions"
"82149","toward"
"82150","industry"
"82151","likely"
"82152","enter"
"82153","remain"
"82154","industry"
"82155","graduation"
"82156","surveyed"
"82157","gaming"
"82158","currently"
"82159","studying"
"82160","school"
"82161","macau"
"82162","results"
"82163","reveal"
"82164","general"
"82165","neutral"
"82166","attitude"
"82167","toward"
"82168","industry"
"82169","career"
"82170","prospects"
"82171","although"
"82172","majority"
"82173","reports"
"82174","intention"
"82175","enter"
"82176","industry"
"82177","graduation"
"82178","faculty"
"82179","members"
"82180","teachers"
"82181","gaming"
"82182","related"
"82183","work"
"82184","experience"
"82185","found"
"82186","greatest"
"82187","positive"
"82188","influences"
"82189","career"
"82190","decision"
"82191","moreover"
"82192","year"
"82193","negative"
"82194","dispositions"
"82195","toward"
"82196","industry"
"82197","years"
"82198","gaming"
"82199","educator"
"82200","industry"
"82201","public"
"82202","sector"
"82203","discussed"
"82204","fourth"
"82205","phase"
"82206","project"
"82207","develop"
"82208","evaluation"
"82209","tool"
"82210","set"
"82211","evaluate"
"82212","food"
"82213","laboratory"
"82214","phase"
"82215","tested"
"82216","instrument"
"82217","among"
"82218","enrolled"
"82219","food"
"82220","laboratories"
"82221","year"
"82222","universities"
"82223","asked"
"82224","evaluate"
"82225","using"
"82226","set"
"82227","developed"
"82228","three"
"82229","previous"
"82230","phases"
"82231","project"
"82232","goal"
"82233","ensure"
"82234","set"
"82235","valid"
"82236","reliable"
"82237","factor"
"82238","completed"
"82239","determine"
"82240","major"
"82241","areas"
"82242","set"
"82243","factor"
"82244","yielded"
"82245","three"
"82246","factors"
"82247","comparable"
"82248","identified"
"82249","delphi"
"82250","panel"
"82251","phase"
"82252","results"
"82253","also"
"82254","indicate"
"82255","set"
"82256","preferred"
"82257","one"
"82258","currently"
"82259","universities"
"82260","reflects"
"82261","significance"
"82262","field"
"82263","trips"
"82264","undergraduate"
"82265","experiential"
"82266","experiential"
"82267","critical"
"82268","development"
"82269","managers"
"82270","future"
"82271","reflective"
"82272","practitioners"
"82273","makes"
"82274","significant"
"82275","contribution"
"82276","debate"
"82277","field"
"82278","trips"
"82279","time"
"82280","school"
"82281","spending"
"82282","cuts"
"82283","threaten"
"82284","future"
"82285","provision"
"82286","qualitative"
"82287","highlights"
"82288","experiential"
"82289","generated"
"82290","undergraduate"
"82291","field"
"82292","trip"
"82293","took"
"82294","place"
"82295","day"
"82296","cruise"
"82297","southampton"
"82298","march"
"82299","reflect"
"82300","upon"
"82301","experiences"
"82302","personal"
"82303","professional"
"82304","perceptions"
"82305","value"
"82306","experiences"
"82307","knowledge"
"82308","understanding"
"82309","cruise"
"82310","also"
"82311","discusses"
"82312","associated"
"82313","benefits"
"82314","field"
"82315","trips"
"82316","self"
"82317","development"
"82318","facilitation"
"82319","group"
"82320","cohesion"
"82321","marketing"
"82322","opportunities"
"82323","educational"
"82324","institutions"
"82325","useful"
"82326","educator"
"82327","well"
"82328","wider"
"82329","cruise"
"82330","community"
"82331","examines"
"82332","potential"
"82333","guest"
"82334","lectures"
"82335","function"
"82336","tool"
"82337","authentic"
"82338","tourism"
"82339","program"
"82340","using"
"82341","qualitative"
"82342","interpretive"
"82343","semistructured"
"82344","interviews"
"82345","conducted"
"82346","sample"
"82347","undergraduate"
"82348","postgraduate"
"82349","course"
"82350","interview"
"82351","questions"
"82352","addressed"
"82353","guest"
"82354","lectures"
"82355","well"
"82356","aspects"
"82357","social"
"82358","insofar"
"82359","relate"
"82360","authentic"
"82361","found"
"82362","guest"
"82363","lectures"
"82364","contribute"
"82365","authentic"
"82366","adding"
"82367","applied"
"82368","dimension"
"82369","tourism"
"82370","simultaneously"
"82371","providing"
"82372","inspiration"
"82373","career"
"82374","choice"
"82375","program"
"82376","curriculum"
"82377","development"
"82378","considered"
"82379","sustainability"
"82380","ongoing"
"82381","theme"
"82382","tourism"
"82383","literature"
"82384","growing"
"82385","concern"
"82386","wider"
"82387","area"
"82388","studies"
"82389","consequence"
"82390","growing"
"82391","recognition"
"82392","need"
"82393","sustainability"
"82394","program"
"82395","tourism"
"82396","development"
"82397","program"
"82398","needs"
"82399","sound"
"82400","understanding"
"82401","existing"
"82402","values"
"82403","attitudes"
"82404","current"
"82405","reports"
"82406","explored"
"82407","environmental"
"82408","attitudes"
"82409","sample"
"82410","generation"
"82411","tourism"
"82412","program"
"82413","using"
"82414","new"
"82415","environmental"
"82416","paradigm"
"82417","scale"
"82418","service"
"82419","gained"
"82420","substantial"
"82421","recognition"
"82422","type"
"82423","pedagogy"
"82424","aided"
"82425","national"
"82426","movement"
"82427","enhanced"
"82428","civic"
"82429","across"
"82430","disciplines"
"82431","date"
"82432","tourism"
"82433","hospitality"
"82434","educator"
"82435","explored"
"82436","integrating"
"82437","service"
"82438","type"
"82439","experiential"
"82440","pedagogy"
"82441","course"
"82442","however"
"82443","remains"
"82444","lack"
"82445","understanding"
"82446","type"
"82447","field"
"82448","offer"
"82449","framework"
"82450","creating"
"82451","implementing"
"82452","service"
"82453","strategies"
"82454","hospitality"
"82455","tourism"
"82456","course"
"82457","curriculum"
"82458","many"
"82459","tourism"
"82460","program"
"82461","adopted"
"82462","competency"
"82463","curriculum"
"82464","design"
"82465","program"
"82466","evaluation"
"82467","date"
"82468","significant"
"82469","identify"
"82470","core"
"82471","concentration"
"82472","competencies"
"82473","lack"
"82474","investigation"
"82475","process"
"82476","linking"
"82477","competencies"
"82478","assessment"
"82479","explores"
"82480","process"
"82481","creating"
"82482","competency"
"82483","curriculum"
"82484","suggests"
"82485","structured"
"82486","procedure"
"82487","assessing"
"82488","detailed"
"82489","steps"
"82490","taken"
"82491","development"
"82492","competency"
"82493","curriculum"
"82494","modeling"
"82495","will"
"82496","described"
"82497","will"
"82498","process"
"82499","tourism"
"82500","discipline"
"82501","program"
"82502","rapid"
"82503","advances"
"82504","technology"
"82505","computer"
"82506","training"
"82507","cbt"
"82508","will"
"82509","soon"
"82510","become"
"82511","prevalent"
"82512","hospitality"
"82513","industry"
"82514","conducted"
"82515","aim"
"82516","understanding"
"82517","perceived"
"82518","beliefs"
"82519","hospitality"
"82520","undergraduates"
"82521","toward"
"82522","adoption"
"82523","cbt"
"82524","hotels"
"82525","total"
"82526","usable"
"82527","self"
"82528","administered"
"82529","questionnaires"
"82530","collected"
"82531","factor"
"82532","revealed"
"82533","three"
"82534","interpretable"
"82535","factors"
"82536","undergraduates"
"82537","perceptions"
"82538","cbt"
"82539","perceived"
"82540","compatibility"
"82541","perceived"
"82542","perceived"
"82543","self"
"82544","efficacy"
"82545","independent"
"82546","test"
"82547","multiple"
"82548","regression"
"82549","also"
"82550","gain"
"82551","better"
"82552","understanding"
"82553","differences"
"82554","perceptions"
"82555","among"
"82556","respondents"
"82557","likely"
"82558","influences"
"82559","three"
"82560","identified"
"82561","factors"
"82562","intention"
"82563","cbt"
"82564","suggestions"
"82565","provided"
"82566","practitioners"
"82567","educator"
"82568","enhance"
"82569","hospitality"
"82570","employee"
"82571","perceptions"
"82572","toward"
"82573","adoption"
"82574","usage"
"82575","cbt"
"82576","although"
"82577","women"
"82578","prevail"
"82579","among"
"82580","tourism"
"82581","graduates"
"82582","portugal"
"82583","men"
"82584","earn"
"82585","salaries"
"82586","fill"
"82587","top"
"82588","level"
"82589","positions"
"82590","tourism"
"82591","sector"
"82592","diagnoses"
"82593","disparities"
"82594","male"
"82595","female"
"82596","tourism"
"82597","graduates"
"82598","following"
"82599","domains"
"82600","areas"
"82601","activity"
"82602","positions"
"82603","salary"
"82604","expectations"
"82605","compared"
"82606","situation"
"82607","tourism"
"82608","graduates"
"82609","data"
"82610","survey"
"82611","covering"
"82612","portuguese"
"82613","institutions"
"82614","tourism"
"82615","degrees"
"82616","concluded"
"82617","male"
"82618","graduates"
"82619","favorable"
"82620","situations"
"82621","employment"
"82622","female"
"82623","graduates"
"82624","reality"
"82625","labor"
"82626","market"
"82627","far"
"82628","corresponding"
"82629","enrolled"
"82630","expectations"
"82631","although"
"82632","sustainability"
"82633","forefront"
"82634","globally"
"82635","awareness"
"82636","importance"
"82637","within"
"82638","hospitality"
"82639","curriculum"
"82640","universities"
"82641","united"
"82642","states"
"82643","limited"
"82644","appraised"
"82645","importance"
"82646","sustainability"
"82647","hospitality"
"82648","curriculums"
"82649","assessing"
"82650","educator"
"82651","industry"
"82652","leadership"
"82653","united"
"82654","states"
"82655","results"
"82656","revealed"
"82657","significant"
"82658","differences"
"82659","stakeholders"
"82660","environmental"
"82661","attitudes"
"82662","behavior"
"82663","interest"
"82664","sustainability"
"82665","significance"
"82666","environmental"
"82667","concerns"
"82668","hospitality"
"82669","curriculum"
"82670","results"
"82671","also"
"82672","showed"
"82673","stakeholders"
"82674","views"
"82675","different"
"82676","regard"
"82677","relevance"
"82678","environmental"
"82679","topic"
"82680","hospitality"
"82681","curriculum"
"82682","best"
"82683","sustainability"
"82684","theory"
"82685","practices"
"82686","efforts"
"82687","abound"
"82688","across"
"82689","tourism"
"82690","teacher"
"82691","networks"
"82692","craft"
"82693","plans"
"82694","guiding"
"82695","educational"
"82696","responses"
"82697","threats"
"82698","tourism"
"82699","people"
"82700","planet"
"82701","worth"
"82702","exploring"
"82703","areas"
"82704","labors"
"82705","might"
"82706","made"
"82707","efficient"
"82708","thus"
"82709","timely"
"82710","productive"
"82711","examine"
"82712","concept"
"82713","system"
"82714","serve"
"82715","useful"
"82716","tool"
"82717","identifying"
"82718","opportunities"
"82719","improve"
"82720","sustainability"
"82721","planning"
"82722","tourism"
"82723","conceptual"
"82724","framework"
"82725","sustainability"
"82726","moves"
"82727","beyond"
"82728","current"
"82729","modeling"
"82730","incorporating"
"82731","additional"
"82732","concepts"
"82733","theory"
"82734","year"
"82735","curricular"
"82736","revision"
"82737","process"
"82738","four"
"82739","undergraduate"
"82740","tourism"
"82741","textbooks"
"82742","revealed"
"82743","content"
"82744","imbalance"
"82745","tipped"
"82746","favor"
"82747","economic"
"82748","tourism"
"82749","concept"
"82750","balanced"
"82751","interdisciplinary"
"82752","pedagogy"
"82753","implied"
"82754","tourism"
"82755","futures"
"82756","initiative"
"82757","core"
"82758","values"
"82759","stewardship"
"82760","mutuality"
"82761","knowledge"
"82762","youtube"
"82763","videos"
"82764","highlighting"
"82765","six"
"82766","decade"
"82767","career"
"82768","work"
"82769","cultural"
"82770","anthropologist"
"82771","valene"
"82772","smith"
"82773","introduced"
"82774","two"
"82775","undergraduate"
"82776","tourism"
"82777","videos"
"82778","immediately"
"82779","augmented"
"82780","curriculum"
"82781","sociocultural"
"82782","content"
"82783","exposed"
"82784","anthropological"
"82785","foundations"
"82786","tourism"
"82787","furthered"
"82788","interdisciplinary"
"82789","tourism"
"82790","easily"
"82791","adopted"
"82792","web"
"82793","technology"
"82794","well"
"82795","received"
"82796","net"
"82797","generation"
"82798","cites"
"82799","efforts"
"82800","jordan"
"82801","sector"
"82802","reform"
"82803","policies"
"82804","practices"
"82805","related"
"82806","tourism"
"82807","hospitality"
"82808","specialized"
"82809","program"
"82810","technical"
"82811","assistance"
"82812","provided"
"82813","period"
"82814","united"
"82815","states"
"82816","agency"
"82817","international"
"82818","development"
"82819","usaid"
"82820","funded"
"82821","jordan"
"82822","tourism"
"82823","development"
"82824","project"
"82825","methodology"
"82826","employed"
"82827","value"
"82828","chain"
"82829","upon"
"82830","strategic"
"82831","initiatives"
"82832","implementation"
"82833","actions"
"82834","recommended"
"82835","ministry"
"82836","scientific"
"82837","ministry"
"82838","tourism"
"82839","antiquities"
"82840","jordan"
"82841","concludes"
"82842","future"
"82843","directions"
"82844","relevant"
"82845","tourism"
"82846","outlined"
"82847","jordan"
"82848","national"
"82849","tourism"
"82850","strategic"
"82851","examines"
"82852","instructional"
"82853","intervention"
"82854","helped"
"82855","undergraduate"
"82856","college"
"82857","develop"
"82858","intercultural"
"82859","competence"
"82860","context"
"82861","regular"
"82862","travel"
"82863","tourism"
"82864","undergraduate"
"82865","school"
"82866","course"
"82867","rationale"
"82868","instructional"
"82869","intervention"
"82870","need"
"82871","intercultural"
"82872","competent"
"82873","individuals"
"82874","travel"
"82875","tourism"
"82876","industry"
"82877","instructional"
"82878","intervention"
"82879","called"
"82880","scaffolding"
"82881","created"
"82882","metacognitive"
"82883","stimuli"
"82884","promote"
"82885","intercultural"
"82886","competence"
"82887","development"
"82888","results"
"82889","show"
"82890","using"
"82891","scaffolding"
"82892","number"
"82893","showed"
"82894","intercultural"
"82895","competence"
"82896","development"
"82897","increased"
"82898","levels"
"82899","intercultural"
"82900","competence"
"82901","increased"
"82902","well"
"82903","reinforce"
"82904","understanding"
"82905","among"
"82906","researchers"
"82907","intercultural"
"82908","competence"
"82909","innate"
"82910","must"
"82911","learned"
"82912","contributes"
"82913","literature"
"82914","authentic"
"82915","pedagogy"
"82916","intercultural"
"82917","competence"
"82918","wanting"
"82919","american"
"82920","travel"
"82921","tourism"
"82922","curricula"
"82923","final"
"82924","conclusion"
"82925","travel"
"82926","tourism"
"82927","departments"
"82928","institutions"
"82929","must"
"82930","incorporate"
"82931","intercultural"
"82932","competence"
"82933","program"
"82934","prepare"
"82935","challenges"
"82936","century"
"82937","aims"
"82938","demonstrate"
"82939","similarities"
"82940","differences"
"82941","undergraduate"
"82942","tourism"
"82943","curricula"
"82944","europe"
"82945","republic"
"82946","croatia"
"82947","interdisciplinary"
"82948","perspective"
"82949","revealed"
"82950","similarities"
"82951","relating"
"82952","duration"
"82953","titles"
"82954","number"
"82955","course"
"82956","frequencies"
"82957","occurrence"
"82958","noneconomic"
"82959","subjects"
"82960","european"
"82961","croatian"
"82962","course"
"82963","alike"
"82964","although"
"82965","scope"
"82966","interdisciplinarity"
"82967","european"
"82968","course"
"82969","much"
"82970","broader"
"82971","puts"
"82972","together"
"82973","modeling"
"82974","undergraduate"
"82975","tourism"
"82976","program"
"82977","interdisciplinarity"
"82978","multidisciplinarity"
"82979","croatia"
"82980","scenario"
"82981","developing"
"82982","interdisciplinarity"
"82983","tourism"
"82984","curricula"
"82985","pursues"
"82986","holistic"
"82987","general"
"82988","system"
"82989","theory"
"82990","selected"
"82991","explores"
"82992","set"
"82993","emerging"
"82994","competencies"
"82995","providers"
"82996","will"
"82997","increasingly"
"82998","compelled"
"82999","consider"
"83000","importantly"
"83001","embed"
"83002","event"
"83003","course"
"83004","offerings"
"83005","undergraduate"
"83006","event"
"83007","program"
"83008","offered"
"83009","victoria"
"83010","school"
"83011","melbourne"
"83012","provides"
"83013","efforts"
"83014","staff"
"83015","iteratively"
"83016","reflectively"
"83017","integrate"
"83018","emerging"
"83019","competencies"
"83020","course"
"83021","curriculum"
"83022","many"
"83023","will"
"83024","required"
"83025","graduates"
"83026","successfully"
"83027","transition"
"83028","work"
"83029","career"
"83030","sector"
"83031","choice"
"83032","events"
"83033","industry"
"83034","competencies"
"83035","sustainable"
"83036","development"
"83037","creativity"
"83038","innovation"
"83039","networking"
"83040","seen"
"83041","vital"
"83042","graduate"
"83043","employability"
"83044","fundamental"
"83045","responses"
"83046","process"
"83047","discussed"
"83048","lead"
"83049","distillation"
"83050","practice"
"83051","associated"
"83052","embedding"
"83053","emerging"
"83054","competencies"
"83055","event"
"83056","set"
"83057","within"
"83058","context"
"83059","increasingly"
"83060","internationalized"
"83061","cohorts"
"83062","presents"
"83063","undertaken"
"83064","cohort"
"83065","postgraduate"
"83066","tourism"
"83067","identify"
"83068","preferred"
"83069","activities"
"83070","opposed"
"83071","styles"
"83072","desired"
"83073","expected"
"83074","skills"
"83075","experiences"
"83076","will"
"83077","result"
"83078","undertaking"
"83079","postgraduate"
"83080","tourism"
"83081","degree"
"83082","survey"
"83083","undertaken"
"83084","tourism"
"83085","postgraduate"
"83086","school"
"83087","queensland"
"83088","australia"
"83089","share"
"83090","tourism"
"83091","educator"
"83092","practitioners"
"83093","may"
"83094","also"
"83095","seeking"
"83096","better"
"83097","understand"
"83098","needs"
"83099","expectations"
"83100","tourism"
"83101","postgraduate"
"83102","many"
"83103","hotel"
"83104","show"
"83105","negative"
"83106","attitudes"
"83107","toward"
"83108","entering"
"83109","hotel"
"83110","industry"
"83111","attitudes"
"83112","likely"
"83113","result"
"83114","negative"
"83115","internship"
"83116","experience"
"83117","may"
"83118","cause"
"83119","young"
"83120","person"
"83121","quickly"
"83122","turn"
"83123","away"
"83124","industry"
"83125","present"
"83126","work"
"83127","life"
"83128","balance"
"83129","recognized"
"83130","one"
"83131","top"
"83132","five"
"83133","challenges"
"83134","human"
"83135","resource"
"83136","additionally"
"83137","different"
"83138","hotel"
"83139","job"
"83140","characteristics"
"83141","lead"
"83142","different"
"83143","internship"
"83144","experiences"
"83145","aims"
"83146","establish"
"83147","conceptual"
"83148","framework"
"83149","reviewing"
"83150","extensive"
"83151","literature"
"83152","interrelationship"
"83153","internship"
"83154","core"
"83155","job"
"83156","characteristics"
"83157","work"
"83158","life"
"83159","balance"
"83160","toward"
"83161","general"
"83162","job"
"83163","satisfaction"
"83164","future"
"83165","career"
"83166","intention"
"83167","hotel"
"83168","interns"
"83169","presents"
"83170","integrative"
"83171","motivations"
"83172","choosing"
"83173","hospitality"
"83174","tourism"
"83175","program"
"83176","well"
"83177","industry"
"83178","perceptions"
"83179","graduates"
"83180","qualifications"
"83181","employment"
"83182","uganda"
"83183","mixed"
"83184","data"
"83185","collection"
"83186","reporting"
"83187","quantitatively"
"83188","replicates"
"83189","motivational"
"83190","scale"
"83191","choosing"
"83192","educational"
"83193","program"
"83194","identifies"
"83195","six"
"83196","factors"
"83197","collectively"
"83198","explain"
"83199","variance"
"83200","choosing"
"83201","hospitality"
"83202","tourism"
"83203","program"
"83204","african"
"83205","developing"
"83206","economy"
"83207","industry"
"83208","perceptions"
"83209","graduates"
"83210","qualifications"
"83211","employment"
"83212","reported"
"83213","basis"
"83214","qualitative"
"83215","interviews"
"83216","discussed"
"83217","light"
"83218","curriculum"
"83219","program"
"83220","refinement"
"83221","better"
"83222","prepare"
"83223","future"
"83224","graduates"
"83225","industry"
"83226","authentic"
"83227","well"
"83228","documented"
"83229","literature"
"83230","whether"
"83231","drawing"
"83232","upon"
"83233","dimensions"
"83234","social"
"83235","capital"
"83236","enhanced"
"83237","partnerships"
"83238","group"
"83239","teacher"
"83240","acting"
"83241","facilitator"
"83242","mean"
"83243","practice"
"83244","reflective"
"83245","observes"
"83246","number"
"83247","practical"
"83248","points"
"83249","embrace"
"83250","principles"
"83251","authentic"
"83252","described"
"83253","author"
"83254","series"
"83255","changes"
"83256","tourism"
"83257","postgraduate"
"83258","course"
"83259","highlights"
"83260","role"
"83261","formalizing"
"83262","incremental"
"83263","feedback"
"83264","mechanism"
"83265","nonclassroom"
"83266","includes"
"83267","importance"
"83268","variety"
"83269","assignment"
"83270","stimulate"
"83271","creative"
"83272","critical"
"83273","skills"
"83274","creates"
"83275","sense"
"83276","authentic"
"83277","action"
"83278","encompasses"
"83279","construction"
"83280","negotiation"
"83281","knowledge"
"83282","shows"
"83283","role"
"83284","teacher"
"83285","facilitator"
"83286","rather"
"83287","formal"
"83288","teacher"
"83289","finally"
"83290","presents"
"83291","difficulties"
"83292","encounter"
"83293","engaging"
"83294","internship"
"83295","one"
"83296","modeling"
"83297","experiential"
"83298","hospitality"
"83299","however"
"83300","successful"
"83301","cooperation"
"83302","employers"
"83303","educator"
"83304","identifies"
"83305","role"
"83306","value"
"83307","internship"
"83308","hospitality"
"83309","benefits"
"83310","drawbacks"
"83311","discussed"
"83312","perspectives"
"83313","three"
"83314","stakeholders"
"83315","overall"
"83316","assessment"
"83317","discussed"
"83318","ends"
"83319","proposing"
"83320","suggestions"
"83321","future"
"83322","call"
"83323","reflective"
"83324","practices"
"83325","hospitality"
"83326","deliver"
"83327","authentic"
"83328","evaluates"
"83329","journal"
"83330","assessment"
"83331","stimulates"
"83332","world"
"83333","relevance"
"83334","experience"
"83335","documents"
"83336","assessment"
"83337","managed"
"83338","literature"
"83339","review"
"83340","outlines"
"83341","assessment"
"83342","characteristics"
"83343","implementation"
"83344","considerations"
"83345","empirical"
"83346","uses"
"83347","quantitative"
"83348","qualitative"
"83349","data"
"83350","found"
"83351","informality"
"83352","assessment"
"83353","insecurity"
"83354","lack"
"83355","structure"
"83356","regarding"
"83357","expectations"
"83358","made"
"83359","journal"
"83360","problematic"
"83361","early"
"83362","stages"
"83363","yet"
"83364","managed"
"83365","well"
"83366","lead"
"83367","authentic"
"83368","experience"
"83369","reports"
"83370","job"
"83371","satisfaction"
"83372","faculty"
"83373","american"
"83374","hospitality"
"83375","program"
"83376","challenging"
"83377","economic"
"83378","times"
"83379","data"
"83380","collected"
"83381","educator"
"83382","validated"
"83383","survey"
"83384","instrument"
"83385","two"
"83386","proposed"
"83387","modeling"
"83388","examined"
"83389","using"
"83390","path"
"83391","one"
"83392","linked"
"83393","financial"
"83394","exigency"
"83395","job"
"83396","satisfaction"
"83397","second"
"83398","modeling"
"83399","four"
"83400","variables"
"83401","mediating"
"83402","financial"
"83403","exigency"
"83404","job"
"83405","satisfaction"
"83406","results"
"83407","showed"
"83408","tenured"
"83409","faculty"
"83410","satisfaction"
"83411","significantly"
"83412","affected"
"83413","financial"
"83414","exigency"
"83415","nontenured"
"83416","faculty"
"83417","satisfaction"
"83418","affected"
"83419","compensation"
"83420","load"
"83421","significant"
"83422","mediators"
"83423","financial"
"83424","exigency"
"83425","job"
"83426","satisfaction"
"83427","hospitality"
"83428","faculty"
"83429","administrators"
"83430","discussed"
"83431","investigated"
"83432","trainees"
"83433","conceptualization"
"83434","training"
"83435","course"
"83436","three"
"83437","dimensional"
"83438","situated"
"83439","tourist"
"83440","sites"
"83441","sts"
"83442","order"
"83443","examine"
"83444","surveyed"
"83445","trainees"
"83446","views"
"83447","understand"
"83448","perspectives"
"83449","sts"
"83450","addition"
"83451","self"
"83452","developed"
"83453","sts"
"83454","test"
"83455","questionnaire"
"83456","follow"
"83457","interview"
"83458","conducted"
"83459","collect"
"83460","data"
"83461","results"
"83462","outlined"
"83463","four"
"83464","dimensions"
"83465","sts"
"83466","interface"
"83467","situation"
"83468","tool"
"83469","function"
"83470","communication"
"83471","mechanism"
"83472","overall"
"83473","satisfaction"
"83474","results"
"83475","showed"
"83476","significant"
"83477","difference"
"83478","trainee"
"83479","pretests"
"83480","posttests"
"83481","regard"
"83482","concepts"
"83483","significant"
"83484","difference"
"83485","perspectives"
"83486","sts"
"83487","male"
"83488","female"
"83489","trainees"
"83490","experiment"
"83491","examines"
"83492","influence"
"83493","related"
"83494","variables"
"83495","career"
"83496","paths"
"83497","tourism"
"83498","graduates"
"83499","portugal"
"83500","brazil"
"83501","taking"
"83502","account"
"83503","gender"
"83504","differences"
"83505","analyzes"
"83506","whether"
"83507","geographical"
"83508","location"
"83509","educational"
"83510","institution"
"83511","educational"
"83512","subsystem"
"83513","level"
"83514","degree"
"83515","influence"
"83516","graduate"
"83517","portuguese"
"83518","brazilian"
"83519","tourism"
"83520","graduates"
"83521","terms"
"83522","employment"
"83523","rates"
"83524","salary"
"83525","levels"
"83526","entrepreneurship"
"83527","profile"
"83528","data"
"83529","empirical"
"83530","evidence"
"83531","pursuing"
"83532","tourism"
"83533","postgraduate"
"83534","degree"
"83535","provides"
"83536","access"
"83537","better"
"83538","conditions"
"83539","labor"
"83540","market"
"83541","attenuates"
"83542","gender"
"83543","inequalities"
"83544","addition"
"83545","geographical"
"83546","location"
"83547","educational"
"83548","subsystem"
"83549","factors"
"83550","consider"
"83551","selecting"
"83552","portuguese"
"83553","institution"
"83554","tourism"
"83555","field"
"83556","hospitality"
"83557","educator"
"83558","charged"
"83559","developing"
"83560","key"
"83561","abilities"
"83562","preparation"
"83563","entry"
"83564","industry"
"83565","abilities"
"83566","include"
"83567","communication"
"83568","skills"
"83569","interpersonal"
"83570","skills"
"83571","ability"
"83572","make"
"83573","difficult"
"83574","decision"
"83575","conceptual"
"83576","skills"
"83577","one"
"83578","means"
"83579","educator"
"83580","meet"
"83581","needs"
"83582","industry"
"83583","professionals"
"83584","experiential"
"83585","specifically"
"83586","consulting"
"83587","uses"
"83588","experiential"
"83589","literature"
"83590","decision"
"83591","skill"
"83592","development"
"83593","literature"
"83594","consulting"
"83595","literature"
"83596","propose"
"83597","framework"
"83598","embedding"
"83599","decision"
"83600","skills"
"83601","within"
"83602","experiential"
"83603","opportunities"
"83604","also"
"83605","illustrates"
"83606","appropriateness"
"83607","framework"
"83608","explores"
"83609","leadership"
"83610","agency"
"83611","tourism"
"83612","faculty"
"83613","recommends"
"83614","actions"
"83615","enhance"
"83616","leadership"
"83617","social"
"83618","change"
"83619","review"
"83620","literature"
"83621","grounded"
"83622","within"
"83623","agency"
"83624","perspective"
"83625","conceptual"
"83626","framework"
"83627","presented"
"83628","identifies"
"83629","systemic"
"83630","individual"
"83631","influences"
"83632","leadership"
"83633","three"
"83634","types"
"83635","freedom"
"83636","faculty"
"83637","engage"
"83638","leadership"
"83639","behavior"
"83640","arise"
"83641","capacity"
"83642","individual"
"83643","lead"
"83644","freedom"
"83645","afforded"
"83646","organizational"
"83647","context"
"83648","lead"
"83649","accordance"
"83650","one"
"83651","capacity"
"83652","lead"
"83653","social"
"83654","freedom"
"83655","lead"
"83656","derived"
"83657","faculty"
"83658","member"
"83659","disciplinary"
"83660","departmental"
"83661","norms"
"83662","structures"
"83663","analyzes"
"83664","hospitality"
"83665","faculty"
"83666","position"
"83667","announcements"
"83668","published"
"83669","council"
"83670","hotel"
"83671","restaurant"
"83672","institutional"
"83673","communiqu"
"83674","period"
"83675","spring"
"83676","spring"
"83677","also"
"83678","considers"
"83679","impact"
"83680","economic"
"83681","downturn"
"83682","job"
"83683","market"
"83684","hospitality"
"83685","educator"
"83686","united"
"83687","states"
"83688","period"
"83689","examines"
"83690","available"
"83691","data"
"83692","beyond"
"83693","downturn"
"83694","comparison"
"83695","past"
"83696","trends"
"83697","results"
"83698","indicate"
"83699","period"
"83700","economic"
"83701","downturn"
"83702","aftermath"
"83703","possibly"
"83704","major"
"83705","identifiable"
"83706","impact"
"83707","quantity"
"83708","hospitality"
"83709","faculty"
"83710","position"
"83711","announcements"
"83712","regardless"
"83713","show"
"83714","pattern"
"83715","growing"
"83716","demands"
